X	SMILES	REFIDX_R	REFIDX_G	REFIDX_B	Molecular.Weight	Molecular.Weight.Except.Hydrogens	Maximum.Partial.Charge	Minimum.Partial.Charge	Number.of.Labute.Accessible.Surface.Area	Number.of.Topological.Polar.Surface.Area	Number.of.Aromatic.Carbocycles	Number.of.Aromatic.Heterocycles	Number.of.H.bond.Acceptor	Number.of.Lipinski.H.bond.Acceptor	Number.of.Heteroatoms
370	BrC1=CC=C2SC(C3=NC(C4=NC5=C(S4)C4=C(C=C(Br)C=C4)C4=CC(Br)=CC=C45)=NC(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC=CC=C45)=N3)=NC2=C1	2.0093	2.3279	2.6482	913.8226938	900.395	0.192563441	-0.232583051	331.215958	77.34	7	4	0	0	12
371	ClC1=CC=C2C(=C1)C1=C(C=CC=C1)C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=C(C=C(Br)C=C3)C3=CC(Br)=CC=C34)=NC(C3=CC4=CC=C(Br)C=C4C=C3)=N2)S1	2.0217	2.3279	2.6023	940.8320516	925.807	0.192480795	-0.231940186	344.6592129	64.45	8	3	0	0	11
372	ClC1=CC=C2C(=C1)C1=C(C=CC(Cl)=C1)C1=C2N=C(C2=NC(C3=NC4=CC=C(I)C=C4S3)=NC(C3=NC4=C(S3)C3=C(C=C(Cl)C=C3)C3=CC(Cl)=CC=C34)=N2)S1	2.0004	2.3279	2.6574	941.8319162	929.399	0.192563441	-0.232623604	350.0882182	77.34	7	4	0	0	14
373	BrC1=CC=C2SC(C3=NC(C4=NC5=C(S4)C4=CC=C(Br)C=C4C4=C5C=CC(Br)=C4)=NC(C4=NC5=C(S4)C4=CC=C(I)C=C4C4=C5C=CC(I)=C4)=N3)=NC2=C1	2.0035	2.3277	2.6517	1165.61599	1154.203	0.192563441	-0.232583051	369.7396342	77.34	7	4	0	0	14
374	IC1=CC=C2C(=C1)C1=C(C=CC=C1)C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=C(C=CC=C3)C3=CC=CC=C34)=NC(C3=NC4=C(S3)C3=CC=C(I)C=C3C3=CC(I)=CC=C34)=N2)S1	1.9941	2.3276	2.6739	1157.812402	1137.483	0.192563441	-0.231940186	392.7621586	77.34	9	4	0	0	12
375	ClC1=CC=C2C=C(C3=NC(C4=NC5=C(S4)C4=CC=C(Cl)C=C4C4=C5C=CC(Cl)=C4)=NC(C4=NC5=C(S4)C4=CC=C(Br)C=C4C4=C5C=CC(Br)=C4)=N3)C=CC2=C1	2.0184	2.3274	2.6074	930.8435948	916.809	0.192480795	-0.231940186	351.3981978	64.45	8	3	0	0	12
376	IC1=CC=C2C(=C1)C1=C(C=CC=C1)C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=CC=C(I)C=C3C3=CC(I)=CC=C34)=NC(C3=NC4=C(O3)C3=C(C=CC=C3)C3=CC=CC=C34)=N2)S1	1.994	2.3273	2.6649	1141.835245	1121.415	0.265765777	-0.432842986	387.9161246	90.48	9	4	0	0	12
377	BrC1=CC=C2C=C(C3=CC=C(N(C4=CC=C(C5=NC6=C(C=CC=C6)O5)C=C4)C4=CC=C(C5=NC6=C(C=CC=C6)S5)C=C4)C=C3)C=CC2=C1	1.9929	2.3273	2.653	699.0979956	674.453	0.226807953	-0.436094686	289.2632375	42.16	7	2	0	0	6
378	BrC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=CC=CC=C3C3=C4C=CC(I)=C3)=NC(C3=NC4=C(S3)C3=CC=CC=C3C3=C4C=CC(I)=C3)=N2)S1	2.0024	2.3271	2.6529	1109.826266	1090.483	0.192563441	-0.231940176	387.3678681	77.34	9	4	0	0	12
379	BrC1=CC=C2C(=C1)C1=C(C=CC=C1)C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=CC=C(Br)C=C3C3=CC(Br)=CC=C34)=NC(C3=NC4=C(C=CC=C4)O3)=N2)S1	2.0137	2.3266	2.6223	897.8455375	884.327	0.26572193	-0.433541018	326.369924	90.48	7	4	0	0	12
